CATEGORIA,Pizza,INGREDIENTI,PREZZO,FOTO
Pizze Veraci,Dop,"Pomodoro, bufala,basilico, grana grattugiato, olio evo","8,50â‚¬",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vQWEYy3hDOmu15o8oGGL/pub/s99pukKQbVDHFggvlS2P.png
Pizze classiche,Fritte e Wurstel,"Pomodoro, mozzarella, patatine fritte, wurstel","8,00â‚¬",
Pizze classiche,Patate e Salsiccia,"Pomodoro, mozzarella, patate al forno, salsiccia","8,00â‚¬",
Pizze classiche,Vegetariana,"Pomodoro, mozzarella, verdure miste","7,50â‚¬",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vQWEYy3hDOmu15o8oGGL/pub/WIPjxnsAfWLKph9GcS1e.png
Pizze classiche,4 Stagioni,"Pomodoro, mozzarella, prosciutto cotto, funghi, acciughe,carciofi","7,50â‚¬",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vQWEYy3hDOmu15o8oGGL/pub/bqUtKpKfAYK4ekShtbPM.png
Pizze classiche,4 Formaggi,"Pomodoro, mozzarella, emmenthal, gorgonzola, grana grattugiato","7,50â‚¬",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vQWEYy3hDOmu15o8oGGL/pub/fCmr8Z3RluY3x3jnb7qs.png
Pizze classiche,Mascarpone e crudo,"Pomodoro, mozzarella, mascarpone IN USCITA Prosciutto crudo di Parma ","7,50â‚¬",
Pizze classiche,Napoletana,"Pomodoro, mozzarella, acciughe, capperi, origano","7,00â‚¬",
Pizze classiche,Tonno e cipolla,"Pomodoro, mozzarella, tonno, cipolla","7,00â‚¬",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vQWEYy3hDOmu15o8oGGL/pub/fiEYceyG3qV9yBrEIsz8.png
Pizze classiche ,Prosciutto e funghi,"Pomodoro, mozzarella, prosciutto cotto, funghi","7,00â‚¬",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vQWEYy3hDOmu15o8oGGL/pub/urdVxPKMIxAi5T1Ee2CK.png
Pizze classiche,Margherita,"Pomodoro, mozzarella","5,00â‚¬",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vQWEYy3hDOmu15o8oGGL/pub/5EsXllk04IpcPbkfSqNS.png
Pizze classiche,Marinara,"Pomodoro, origano, olio all'aglio","4,50â‚¬",
Pizze classiche,Schiacciata,"Olio, sale, rosmarino","3,50â‚¬",
Le nostre proposte,Norvegese,"pomodoro, mozzarella, zucchine grigliate, brie, olive nere IN USCITA salmone affumicato","8,80â‚¬",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vQWEYy3hDOmu15o8oGGL/pub/7ukbXwas0kKn19ASOio2.png
Le nostre proposte,Lopez,"pomodoro, mozzarella, emmenthal, gorgonzola, salamino piccante, peperoni al forno, grana grattugiato, origano IN USCITA Speck","8,80â‚¬",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vQWEYy3hDOmu15o8oGGL/pub/OJ2KybNPwKw9dEdGB3h3.png
Le nostre proposte,Friulana,"pomodoro, mozzarella, funghi misto bosco, gorgonzola IN USCITA Speck ","8,50",
Le nostre proposte,Estiva,"pomodoro, mozzarella, mascarpone IN USCITA Prosciutto crudo di Parma, rucola, pomodorini","8,50",
Le nostre proposte,Squisita,"pomodoro, mozzarella, peperoni al forno, salsiccia, gorgonzola, olive","8,00â‚¬",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vQWEYy3hDOmu15o8oGGL/pub/Y4vLEsfXbSjxquTChBvI.png
Le nostre proposte,FumÃ¨,"pomodoro, mozzarella, prosciutto cotto, porcini, olive IN USCITA ricotta affumicata","8,00â‚¬",
Le nostre proposte,Trentina,"mozzarella, radicchio, gorgonzola IN USCITA speck e granella di noci","8,00â‚¬",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vQWEYy3hDOmu15o8oGGL/pub/9lpAcOiLHqnxSyiuv3Ko.png
Le nostre proposte,Casareccia,"pomodoro, mozzarella, salamino piccante, salsiccia, gorgonzola","8,00â‚¬",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vQWEYy3hDOmu15o8oGGL/pub/mR8UU31jwr4E4nBkoMEY.png
Le nostre proposte,Rustica,"pomodoro, mozzarella, patate al forno IN USCITA pancetta arrotolata","8,00â‚¬",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/vQWEYy3hDOmu15o8oGGL/pub/R1dxaMzaCzjWTKMBNkTC.png
Le nostre proposte,Bufala,"pomodoro, mozzarella di Bufala, pomodorini IN USCITA Basilico fresco e olio EVO","7,80â‚¬",
Le nostre proposte,Tirolese,"pomodoro, mozzarella, emmenthal, funghi IN USCITA Speck","7,80â‚¬",
